,card,user,rating
0,1,1,1.0
1,1,89,1.0
2,2,87,1.0
3,2,76,1.0
4,2,13,1.0
5,2,1,1.0
6,2,42,1.0
7,2,71,1.0
8,2,75,1.0
9,2,5,1.0
10,2,51,1.0
11,3,44,1.0
12,3,15,1.0
13,3,98,1.0
14,3,26,1.0
15,3,11,1.0
16,3,71,1.0
17,3,63,1.0
18,3,20,1.0
19,4,90,1.0
20,4,51,1.0
21,4,80,1.0
22,4,27,1.0
23,5,59,1.0
24,5,13,1.0
25,5,41,1.0
26,5,52,1.0
27,6,39,1.0
28,6,16,1.0
29,6,17,1.0
30,6,12,1.0
31,7,30,1.0
32,7,40,1.0
33,7,1,1.0
34,7,88,1.0
35,7,18,1.0
36,8,8,1.0
37,8,9,1.0
38,8,77,1.0
39,8,76,1.0
40,8,97,1.0
41,9,93,1.0
42,9,98,1.0
43,9,96,3.0
44,9,24,1.0
45,9,70,1.0
46,9,31,1.0
47,10,25,1.0
48,10,67,1.0
49,10,30,1.0
50,10,61,1.0
51,10,24,1.0
52,11,38,1.0
53,11,79,1.0
54,12,42,1.0
55,12,81,1.0
56,13,51,1.0
57,13,37,1.0
58,14,33,1.0
59,14,1,1.0
60,14,64,1.0
61,14,99,1.0
62,15,79,1.0
63,15,59,1.0
64,15,9,3.0
65,15,6,1.0
66,15,71,1.0
67,15,16,1.0
68,15,95,1.0
69,15,77,1.0
70,15,53,1.0
71,15,82,1.0
72,16,60,1.0
73,16,64,1.0
74,16,77,1.0
75,16,74,1.0
76,17,68,1.0
77,17,90,1.0
78,17,60,1.0
79,17,13,1.0
80,17,18,1.0
81,17,9,1.0
82,17,64,1.0
83,17,39,1.0
84,17,50,1.0
85,18,86,1.0
86,18,17,1.0
87,18,36,1.0
88,18,32,1.0
89,18,71,1.0
90,18,65,1.0
91,18,94,1.0
92,19,46,1.0
93,19,90,1.0
94,19,78,1.0
95,19,18,1.0
96,19,85,1.0
97,19,38,1.0
98,19,56,1.0
99,20,17,1.0
100,20,32,1.0
101,20,50,1.0
102,20,7,1.0
103,21,30,1.0
104,21,32,1.0
105,22,64,1.0
106,22,48,1.0
107,23,61,1.0
108,23,91,3.0
109,23,20,1.0
110,24,64,1.0
111,24,50,1.0
112,24,100,1.0
113,24,18,1.0
114,24,23,1.0
115,25,22,1.0
116,25,51,1.0
117,25,94,1.0
118,25,63,1.0
119,26,94,1.0
120,26,28,1.0
121,26,5,1.0
122,26,77,1.0
123,26,17,1.0
124,26,72,1.0
125,26,20,1.0
126,26,73,1.0
127,27,100,1.0
128,27,67,1.0
129,27,39,1.0
130,27,17,1.0
131,27,43,1.0
132,28,73,1.0
133,28,15,1.0
134,29,81,1.0
135,29,57,1.0
136,29,48,1.0
137,29,7,1.0
138,30,87,3.0
139,30,10,1.0
140,30,30,1.0
141,30,43,1.0
142,30,9,1.0
143,30,81,1.0
144,30,68,1.0
145,31,87,1.0
146,31,10,1.0
147,31,15,1.0
148,31,31,1.0
149,31,100,1.0
150,32,63,1.0
151,32,12,1.0
152,32,51,1.0
153,32,13,1.0
154,32,69,1.0
155,32,3,1.0
156,32,53,1.0
157,32,56,1.0
158,33,77,1.0
159,33,98,1.0
160,33,49,1.0
161,33,83,1.0
162,34,45,1.0
163,35,51,1.0
164,35,68,1.0
165,35,65,1.0
166,35,19,1.0
167,35,55,1.0
168,35,56,1.0
169,36,91,1.0
170,36,83,1.0
171,36,31,1.0
172,36,34,1.0
173,36,17,1.0
174,37,3,1.0
175,37,93,1.0
176,37,15,1.0
177,37,82,1.0
178,38,90,1.0
179,38,9,1.0
180,38,37,1.0
181,39,55,1.0
182,39,18,1.0
183,39,19,1.0
184,39,10,1.0
185,39,58,1.0
186,39,82,1.0
187,40,78,1.0
188,40,45,1.0
189,40,83,1.0
190,40,34,1.0
191,40,47,1.0
192,41,29,1.0
193,42,93,1.0
194,42,70,1.0
195,42,77,1.0
196,42,98,1.0
197,42,80,1.0
198,42,100,1.0
199,42,3,1.0
200,43,88,1.0
201,43,50,1.0
202,43,35,1.0
203,43,94,1.0
204,43,77,1.0
205,43,53,1.0
206,43,51,1.0
207,44,62,1.0
208,44,72,1.0
209,44,19,1.0
210,45,80,1.0
211,45,87,1.0
212,45,29,1.0
213,45,90,1.0
214,45,38,1.0
215,45,79,1.0
216,46,41,1.0
217,46,12,1.0
218,46,92,1.0
219,46,96,1.0
220,46,64,1.0
221,46,76,1.0
222,46,26,1.0
223,47,76,1.0
224,47,49,1.0
225,47,6,1.0
226,47,71,1.0
227,47,31,1.0
228,48,45,1.0
229,48,71,1.0
230,48,66,1.0
231,48,41,1.0
232,48,73,1.0
233,49,83,1.0
234,49,15,1.0
235,49,9,1.0
236,50,78,1.0
237,50,99,1.0
238,51,46,1.0
239,51,62,1.0
240,51,60,1.0
241,52,46,1.0
242,52,98,3.0
243,52,25,1.0
244,52,20,1.0
245,53,30,1.0
246,53,81,1.0
247,53,29,1.0
248,53,62,1.0
249,54,22,1.0
250,54,20,1.0
251,55,82,1.0
252,55,40,1.0
253,55,6,1.0
254,55,84,1.0
255,55,98,1.0
256,55,44,1.0
257,55,83,1.0
258,56,74,1.0
259,56,3,1.0
260,56,4,1.0
261,56,78,1.0
262,56,62,3.0
263,56,35,1.0
264,57,95,1.0
265,57,13,1.0
266,57,23,1.0
267,58,28,1.0
268,58,90,1.0
269,58,52,1.0
270,58,22,1.0
271,59,71,1.0
272,59,86,1.0
273,59,41,1.0
274,59,11,1.0
275,60,4,1.0
276,60,22,1.0
277,60,91,1.0
278,61,91,1.0
279,61,35,1.0
280,61,54,1.0
281,61,30,1.0
282,62,65,1.0
283,62,46,1.0
284,62,11,1.0
285,62,15,1.0
286,62,63,1.0
287,63,66,1.0
288,63,19,1.0
289,63,80,1.0
290,64,60,1.0
291,65,12,1.0
292,65,79,1.0
293,65,90,1.0
294,65,84,1.0
295,65,93,1.0
296,65,96,1.0
297,65,54,1.0
298,66,12,1.0
299,66,7,3.0
300,66,28,1.0
301,66,22,1.0
302,67,86,1.0
303,67,63,1.0
304,67,84,1.0
305,67,75,1.0
306,67,71,1.0
307,68,16,1.0
308,68,72,1.0
309,68,56,1.0
310,68,40,1.0
311,68,11,1.0
312,68,94,1.0
313,69,54,1.0
314,69,60,1.0
315,69,87,1.0
316,69,22,1.0
317,70,89,1.0
318,70,91,1.0
319,70,39,1.0
320,70,75,1.0
321,70,64,1.0
322,70,87,1.0
323,70,36,1.0
324,71,36,1.0
325,71,71,1.0
326,71,53,1.0
327,71,43,1.0
328,72,72,1.0
329,73,61,1.0
330,73,60,1.0
331,73,1,1.0
332,74,85,1.0
333,74,31,1.0
334,74,50,1.0
335,74,81,1.0
336,74,25,1.0
337,74,14,1.0
338,74,47,1.0
339,75,24,1.0
340,75,14,1.0
341,76,47,1.0
342,76,80,1.0
343,76,96,1.0
344,76,82,1.0
345,76,25,1.0
346,77,14,1.0
347,77,22,1.0
348,77,77,1.0
349,77,98,1.0
350,77,56,1.0
351,77,72,1.0
352,77,24,1.0
353,77,48,1.0
354,78,45,1.0
355,78,65,1.0
356,78,97,1.0
357,78,79,1.0
358,78,66,1.0
359,78,56,1.0
360,78,29,1.0
361,78,4,3.0
362,79,93,1.0
363,79,64,1.0
364,79,46,1.0
365,79,30,1.0
366,79,24,1.0
367,79,3,1.0
368,79,37,1.0
369,79,59,1.0
370,80,25,1.0
371,80,8,1.0
372,80,63,1.0
373,81,15,1.0
374,81,39,1.0
375,81,55,1.0
376,82,25,1.0
377,82,82,1.0
378,82,28,1.0
379,82,5,1.0
380,82,88,1.0
381,82,71,1.0
382,83,40,3.0
383,83,9,1.0
384,84,11,3.0
385,84,29,1.0
386,84,31,1.0
387,84,54,1.0
388,85,33,1.0
389,85,50,1.0
390,85,76,1.0
391,85,62,1.0
392,86,18,1.0
393,87,26,1.0
394,87,58,1.0
395,87,92,1.0
396,88,72,1.0
397,88,77,1.0
398,88,10,1.0
399,89,98,1.0
400,89,14,1.0
401,89,69,1.0
402,89,71,1.0
403,90,59,1.0
404,90,93,1.0
405,90,90,1.0
406,90,48,1.0
407,90,51,1.0
408,90,82,1.0
409,91,60,1.0
410,91,39,1.0
411,91,34,3.0
412,91,48,1.0
413,92,57,1.0
414,92,58,1.0
415,92,88,1.0
416,92,32,1.0
417,93,24,1.0
418,93,40,1.0
419,93,71,1.0
420,94,49,1.0
421,94,11,1.0
422,94,80,1.0
423,95,82,1.0
424,95,53,1.0
425,95,15,1.0
426,95,8,1.0
427,95,79,1.0
428,95,68,1.0
429,96,80,1.0
430,96,5,1.0
431,96,91,1.0
432,97,61,1.0
433,97,72,1.0
434,98,64,1.0
435,98,61,1.0
436,98,77,1.0
437,99,70,1.0
438,99,88,1.0
439,99,64,1.0
440,99,46,1.0
441,99,73,1.0
442,100,37,1.0
443,100,58,1.0
444,100,27,1.0
445,100,74,1.0
446,100,29,1.0
447,100,3,1.0
448,101,38,1.0
449,101,23,1.0
450,101,30,1.0
451,101,50,1.0
452,101,16,1.0
453,101,41,1.0
454,102,96,1.0
455,102,57,1.0
456,102,47,1.0
457,102,11,1.0
458,102,10,1.0
459,102,6,1.0
460,102,84,1.0
461,103,88,1.0
462,103,74,1.0
463,103,60,1.0
464,103,36,1.0
465,103,63,1.0
466,103,64,1.0
467,103,91,1.0
468,104,64,1.0
469,104,35,1.0
470,104,98,1.0
471,104,24,1.0
472,104,7,1.0
473,104,59,1.0
474,104,19,1.0
475,105,36,1.0
476,105,94,1.0
477,105,59,1.0
478,105,96,1.0
479,105,90,1.0
480,106,50,1.0
481,107,84,1.0
482,107,63,1.0
483,107,38,1.0
484,107,81,1.0
485,108,33,1.0
486,108,1,1.0
487,108,18,1.0
488,109,6,1.0
489,109,46,1.0
490,109,19,1.0
491,109,27,1.0
492,110,63,1.0
493,110,81,1.0
494,111,12,1.0
495,111,54,1.0
496,111,72,1.0
497,111,63,1.0
498,111,22,1.0
499,111,40,1.0
500,111,81,1.0
501,111,42,1.0
502,112,44,1.0
503,112,87,1.0
504,113,47,1.0
505,113,76,1.0
506,113,36,1.0
507,113,12,1.0
508,113,44,1.0
509,114,7,1.0
510,114,13,1.0
511,114,40,1.0
512,114,100,1.0
513,115,27,1.0
514,115,4,1.0
515,115,46,1.0
516,115,42,1.0
517,116,13,1.0
518,116,79,1.0
519,116,99,1.0
520,116,94,1.0
521,117,24,1.0
522,117,80,1.0
523,117,72,1.0
524,117,100,1.0
525,117,59,1.0
526,118,65,1.0
527,118,87,1.0
528,118,44,1.0
529,118,77,1.0
530,118,33,1.0
531,119,49,1.0
532,119,48,1.0
533,120,70,1.0
534,120,96,1.0
535,120,30,1.0
536,121,54,1.0
537,121,26,1.0
538,121,44,1.0
539,121,1,1.0
540,121,47,1.0
541,121,94,1.0
542,121,18,1.0
543,122,4,1.0
544,122,94,1.0
545,123,48,3.0
546,124,72,1.0
547,124,29,1.0
548,124,47,1.0
549,124,14,1.0
550,125,85,1.0
551,125,6,1.0
552,125,73,1.0
553,125,17,1.0
554,125,35,1.0
555,125,13,1.0
556,125,94,1.0
557,126,7,1.0
558,126,72,1.0
559,126,85,1.0
560,127,16,1.0
561,127,67,1.0
562,127,51,1.0
563,127,80,1.0
564,128,6,1.0
565,128,85,1.0
566,128,37,1.0
567,128,36,1.0
568,129,68,1.0
569,129,24,1.0
570,129,78,1.0
571,129,80,1.0
572,130,86,1.0
573,130,5,1.0
574,130,41,1.0
575,130,76,1.0
576,130,42,1.0
577,130,8,1.0
578,131,24,1.0
579,131,17,1.0
580,131,39,1.0
581,131,100,1.0
582,131,85,1.0
583,131,27,1.0
584,131,95,1.0
585,132,63,1.0
586,132,16,1.0
587,132,66,1.0
588,132,20,1.0
589,132,24,1.0
590,132,71,1.0
591,132,82,1.0
592,133,75,1.0
593,133,32,1.0
594,133,20,1.0
595,134,71,1.0
596,134,90,1.0
597,134,95,1.0
598,134,40,1.0
599,134,18,1.0
600,135,69,1.0
601,135,98,1.0
602,135,5,1.0
603,135,25,1.0
604,135,2,3.0
605,135,33,1.0
606,135,45,1.0
607,135,80,1.0
608,136,1,1.0
609,136,92,1.0
610,136,43,1.0
611,136,75,1.0
612,136,19,1.0
613,138,80,1.0
614,138,28,3.0
615,139,98,1.0
616,139,22,1.0
617,139,86,1.0
618,139,70,1.0
619,139,39,1.0
620,139,8,1.0
621,139,49,1.0
622,139,64,1.0
623,140,85,1.0
624,140,26,1.0
625,141,18,1.0
626,141,5,1.0
627,142,93,1.0
628,143,17,1.0
629,143,35,1.0
630,143,9,1.0
631,144,31,1.0
632,144,50,1.0
633,144,78,1.0
634,145,15,1.0
635,145,65,1.0
636,145,49,1.0
637,146,98,1.0
638,146,51,1.0
639,146,46,1.0
640,146,90,1.0
641,146,74,1.0
642,146,24,1.0
643,146,76,1.0
644,146,6,1.0
645,147,68,1.0
646,147,87,1.0
647,147,79,1.0
648,147,45,1.0
649,147,13,1.0
650,147,73,1.0
651,147,64,1.0
652,148,31,1.0
653,148,85,1.0
654,148,56,1.0
655,148,5,1.0
656,148,19,1.0
657,148,89,1.0
658,148,13,1.0
659,149,31,1.0
660,149,14,1.0
661,149,32,1.0
662,149,51,1.0
663,149,99,1.0
664,150,99,1.0
665,150,78,1.0
666,150,72,1.0
667,150,81,1.0
668,150,2,1.0
669,151,85,1.0
670,151,72,1.0
671,151,58,1.0
672,152,79,1.0
673,152,99,1.0
674,153,55,1.0
675,153,90,1.0
676,153,23,1.0
677,153,22,1.0
678,154,97,1.0
679,154,98,1.0
680,154,10,1.0
681,154,25,1.0
682,155,50,1.0
683,155,47,1.0
684,155,59,1.0
685,156,47,1.0
686,156,64,1.0
687,157,91,1.0
688,157,66,1.0
689,157,84,1.0
690,158,40,1.0
691,158,37,1.0
692,158,100,1.0
693,159,17,1.0
694,159,23,1.0
695,159,32,1.0
696,160,75,1.0
697,160,36,1.0
698,160,61,1.0
699,160,63,1.0
700,160,100,1.0
701,160,16,1.0
702,161,12,1.0
703,161,72,1.0
704,161,76,1.0
705,162,5,1.0
706,162,86,1.0
707,163,63,1.0
708,163,28,1.0
709,163,81,1.0
710,163,87,1.0
711,163,78,1.0
712,163,99,1.0
713,163,16,1.0
714,163,26,1.0
715,164,73,1.0
716,164,6,1.0
717,164,100,1.0
718,165,36,1.0
719,165,1,1.0
720,165,98,1.0
721,165,20,1.0
722,165,22,1.0
723,165,43,1.0
724,166,27,1.0
725,166,92,1.0
726,166,28,1.0
727,166,77,1.0
728,166,14,1.0
729,166,19,1.0
730,166,93,1.0
731,166,39,1.0
732,167,59,1.0
733,167,44,1.0
734,168,15,1.0
735,168,100,1.0
736,168,97,1.0
737,168,14,1.0
738,168,91,1.0
739,168,49,1.0
740,168,1,1.0
741,169,56,1.0
742,169,36,1.0
743,170,99,1.0
744,170,92,1.0
745,170,89,1.0
746,170,97,1.0
747,170,88,1.0
748,170,4,1.0
749,171,11,1.0
750,171,24,1.0
751,171,30,1.0
752,172,55,1.0
753,172,6,1.0
754,172,71,1.0
755,172,53,1.0
756,172,58,1.0
757,172,84,1.0
758,172,28,1.0
759,172,36,1.0
760,173,2,1.0
761,173,94,1.0
762,173,27,1.0
763,173,58,1.0
764,174,83,1.0
765,174,7,1.0
766,174,65,1.0
767,174,5,1.0
768,174,24,1.0
769,174,53,1.0
770,174,12,1.0
771,174,94,1.0
772,174,51,1.0
773,174,47,1.0
774,175,40,1.0
775,175,92,1.0
