card,score
196,2.5
6,2.0
39,2.0
41,2.0
63,2.0
64,2.0
66,2.0
75,2.0
90,2.0
105,2.0
109,2.0
124,2.0
137,2.0
142,2.0
151,2.0
153,2.0
171,2.0
172,2.0
193,2.0
195,2.0
200,2.0
206,2.0
209,2.0
228,2.0
251,2.0
276,2.0
286,2.0
298,2.0
305,2.0
306,2.0
307,2.0
309,2.0
311,2.0
314,2.0
332,2.0
341,2.0
348,2.0
395,2.0
398,2.0
407,2.0
68,1.666666666666667
224,1.666666666666667
347,1.666666666666667
390,1.6666666666666665
164,1.6
207,1.5000000000000002
317,1.5
19,1.4000000000000001
384,1.4000000000000001
220,1.3333333333333333
329,1.3333333333333333
147,1.2727272727272727
5,1.0
14,1.0
16,1.0
17,1.0
22,1.0
24,1.0
26,1.0
28,1.0
32,1.0
35,1.0
43,1.0
46,1.0
48,1.0
50,1.0
56,1.0
58,1.0
61,1.0
70,1.0
77,1.0
78,1.0
79,1.0
98,1.0
99,1.0
103,1.0
104,1.0
116,1.0
125,1.0
139,1.0
143,1.0
148,1.0
149,1.0
150,1.0
152,1.0
156,1.0
163,1.0
169,1.0
170,1.0
181,1.0
186,1.0
188,1.0
191,1.0
192,1.0
197,1.0
198,1.0
202,1.0
204,1.0
214,1.0
215,1.0
217,1.0
218,1.0
222,1.0
227,1.0
229,1.0
231,1.0
233,1.0
238,1.0
240,1.0
255,1.0
263,1.0
273,1.0
274,1.0
279,1.0
284,1.0
297,1.0
304,1.0
310,1.0
313,1.0
319,1.0
336,1.0
349,1.0
351,1.0
352,1.0
358,1.0
359,1.0
365,1.0
370,1.0
371,1.0
374,1.0
378,1.0
381,1.0
383,1.0
392,1.0
394,1.0
401,1.0
412,1.0
413,1.0
414,1.0
419,1.0
420,1.0
426,1.0
1,
2,
3,
4,
7,
8,
12,
13,
72,
84,
135,
145,
173,
183,
184,
187,
225,
236,
239,
270,
302,
312,
323,
328,
344,
345,
357,
387,
402,
