,0,1,2,3,4,5,6,7,8,9
0,1,2,3,4,5,6,7,8,9,10
1,16,33,53,49,0,2,3,4,5,6
2,79,36,87,19,69,65,27,28,41,44
3,17,21,27,97,29,72,96,71,104,31
4,67,50,73,34,27,2,104,3,28,45
5,64,74,88,71,49,55,75,89,51,6
6,9,93,30,12,76,5,92,80,91,58
7,29,51,91,95,53,25,39,47,66,97
8,75,79,69,83,45,12,60,81,94,27
9,6,26,40,73,30,95,10,38,99,87
10,15,37,106,49,9,12,18,67,56,26
11,41,48,58,40,31,80,85,39,73,26
12,56,59,83,91,10,34,33,69,8,6
13,94,23,74,40,53,48,57,87,50,15
14,15,22,66,24,33,41,88,11,54,82
15,10,14,61,87,64,66,19,51,67,13
16,1,29,69,88,46,57,22,17,39,18
17,3,99,54,16,51,73,56,68,91,18
18,72,99,30,16,10,68,91,17,79,73
19,40,73,98,86,94,96,2,51,87,15
20,46,91,79,102,94,99,104,88,74,48
21,3,54,70,28,48,61,106,68,10,76
22,94,54,16,14,49,66,36,84,44,99
23,57,40,35,13,84,78,28,96,63,90
24,53,79,58,14,65,70,90,102,39,46
25,29,58,73,64,7,101,62,11,51,80
26,9,87,72,39,103,11,71,97,98,10
27,3,102,69,28,73,2,8,4,79,52
28,96,33,27,60,99,21,23,79,2,101
29,7,16,25,58,105,44,3,101,53,95
30,34,38,82,68,9,44,6,91,18,75
31,80,11,55,40,3,41,16,90,85,15
32,83,45,35,65,71,70,79,98,43,33
33,1,46,28,88,105,35,57,12,61,14
34,30,58,79,86,89,12,4,97,38,8
35,64,48,23,105,33,32,46,54,84,5
36,72,48,71,2,61,22,12,80,51,81
37,10,56,40,68,92,43,64,6,82,67
38,30,89,95,48,98,42,9,76,5,34
39,70,40,11,97,16,7,26,98,24,66
40,9,19,78,98,60,66,23,39,11,73
41,11,58,31,72,96,14,2,59,74,81
42,95,102,92,101,38,94,104,88,69,22
43,83,89,65,35,37,32,44,71,72,18
44,71,93,75,29,89,30,22,2,12,57
45,8,32,92,97,39,83,67,12,4,20
46,33,63,86,87,99,16,90,20,35,57
47,7,82,77,35,74,78,5,102,84,100
48,68,88,94,11,36,61,35,81,38,13
49,106,10,5,61,22,16,3,88,1,19
50,53,4,82,13,52,99,95,27,63,92
51,7,17,19,73,91,5,15,78,25,18
52,64,99,67,50,75,27,20,74,25,43
53,1,24,91,86,50,69,29,7,13,60
54,21,17,71,22,70,35,3,15,14,96
55,64,31,5,99,40,101,12,60,29,92
56,12,37,92,86,10,17,94,2,19,102
57,88,23,90,16,60,33,13,59,46,44
58,29,34,41,11,25,24,79,106,30,74
59,12,71,98,79,96,57,41,60,95,100
60,40,28,57,78,103,74,8,85,63,53
61,15,67,92,48,64,49,36,21,33,99
62,83,12,95,73,25,16,66,29,105,33
63,46,97,81,70,30,60,48,2,57,87
64,5,35,94,15,55,91,61,25,52,67
65,79,89,43,74,105,2,24,91,32,77
66,40,15,84,14,22,99,7,53,62,39
67,94,61,101,4,10,64,52,15,57,55
68,48,80,30,100,94,84,37,85,18,17
69,16,88,92,8,27,53,12,2,102,42
70,39,106,21,54,63,24,96,17,33,48
71,44,59,36,54,89,5,3,76,26,30
72,36,18,3,26,41,101,74,19,87,40
73,9,19,99,40,11,25,51,27,4,17
74,5,103,40,13,65,60,72,98,77,87
75,8,44,80,5,30,89,35,96,52,55
76,92,91,71,6,38,21,63,61,13,53
77,98,73,97,40,74,47,103,19,84,79
78,40,103,23,60,51,71,17,94,21,2
79,34,65,2,8,102,24,59,83,20,58
80,68,31,11,75,79,36,69,5,81,92
81,90,48,63,86,91,8,80,36,41,55
82,84,30,47,50,51,18,26,58,14,9
83,12,43,32,8,62,79,16,99,33,45
84,82,23,85,66,68,22,35,80,69,77
85,97,11,100,84,68,60,16,31,9,103
86,34,46,19,53,56,81,90,61,15,18
87,46,15,2,19,26,13,9,74,94,63
88,5,48,57,69,90,94,105,16,33,42
89,34,38,95,43,44,65,71,5,75,93
90,88,57,81,46,99,24,60,31,86,63
91,7,12,30,53,64,76,20,51,81,17
92,56,69,76,61,42,45,6,37,80,73
93,6,44,89,9,31,35,90,45,84,58
94,48,67,88,64,22,19,13,101,68,40
95,42,7,38,89,9,62,29,59,97,30
96,28,3,19,59,23,41,57,99,70,75
97,85,3,39,63,77,26,45,7,34,40
98,19,40,59,77,103,38,39,26,74,79
99,17,73,46,18,28,52,55,66,90,22
100,68,85,11,94,44,59,21,84,106,39
101,67,94,42,29,25,72,16,19,89,28
102,27,42,79,20,69,24,104,56,7,47
103,74,78,98,60,26,44,77,41,85,80
104,3,42,102,20,29,53,54,4,7,17
105,29,88,35,33,65,94,74,62,69,64
106,70,49,10,21,58,79,42,59,100,92
