,similarityIndex,user,card,rating
0,1.0,12,24,1.0
1,1.0,12,29,1.0
2,1.0,12,66,2.0
3,1.0,12,81,1.0
4,1.0,12,83,1.0
5,1.0,12,122,1.0
6,1.0,12,124,1.0
7,1.0,12,135,2.0
8,1.0,12,142,1.0
9,1.0,12,143,1.0
10,1.0,12,152,1.0
11,1.0,12,162,1.0
12,1.0,12,201,1.0
13,1.0,12,210,1.0
14,1.0,12,244,2.0
15,1.0,12,257,1.0
16,1.0,12,262,1.0
17,1.0,12,281,1.0
18,1.0,12,308,1.0
19,1.0,12,310,1.0
20,1.0,12,381,1.0
21,1.0,12,402,1.0
22,1.0,12,404,1.0
23,1.0,12,427,1.0
24,1.0,12,428,2.0
25,1.0,12,436,2.0
26,1.0,12,443,1.0
27,1.0,12,446,1.0
28,1.0,43,10,1.0
29,1.0,43,34,1.0
30,1.0,43,45,1.0
31,1.0,43,50,1.0
32,1.0,43,54,1.0
33,1.0,43,66,2.0
34,1.0,43,67,1.0
35,1.0,43,89,1.0
36,1.0,43,95,1.0
37,1.0,43,104,1.0
38,1.0,43,105,2.0
39,1.0,43,117,1.0
40,1.0,43,131,1.0
41,1.0,43,136,2.0
42,1.0,43,140,1.0
43,1.0,43,159,1.0
44,1.0,43,160,2.0
45,1.0,43,187,1.0
46,1.0,43,200,1.0
47,1.0,43,217,3.0
48,1.0,43,242,1.0
49,1.0,43,255,1.0
50,1.0,43,283,1.0
51,1.0,43,300,1.0
52,1.0,43,318,1.0
53,1.0,43,341,1.0
54,1.0,43,345,1.0
55,1.0,43,384,1.0
56,1.0,43,385,1.0
57,1.0,43,404,1.0
58,1.0,43,413,1.0
59,1.0,43,433,1.0
60,1.0,43,454,1.0
61,1.0,96,4,1.0
62,1.0,96,18,2.0
63,1.0,96,26,1.0
64,1.0,96,31,1.0
65,1.0,96,36,1.0
66,1.0,96,38,2.0
67,1.0,96,45,1.0
68,1.0,96,49,1.0
69,1.0,96,61,2.0
70,1.0,96,64,2.0
71,1.0,96,104,1.0
72,1.0,96,124,1.0
73,1.0,96,136,1.0
74,1.0,96,181,1.0
75,1.0,96,200,1.0
76,1.0,96,221,2.0
77,1.0,96,227,1.0
78,1.0,96,234,2.0
79,1.0,96,242,1.0
80,1.0,96,251,1.0
81,1.0,96,256,1.0
82,1.0,96,261,1.0
83,1.0,96,278,1.0
84,1.0,96,284,1.0
85,1.0,96,287,1.0
86,1.0,96,290,2.0
87,1.0,96,312,1.0
88,1.0,96,335,1.0
89,1.0,96,389,2.0
