,card,user,rating
0,1,1,3.0
1,1,13,1.0
2,1,23,1.0
3,1,46,1.0
4,1,56,1.0
5,1,68,1.0
6,1,91,1.0
7,1,92,1.0
8,1,97,1.0
9,1,102,1.0
10,2,1,1.0
11,2,18,1.0
12,2,25,1.0
13,2,29,2.0
14,2,30,2.0
15,2,38,1.0
16,2,65,2.0
17,2,69,1.0
18,2,72,2.0
19,2,74,2.0
20,2,99,2.0
21,3,1,3.0
22,3,2,3.0
23,3,9,3.0
24,3,16,3.0
25,3,28,1.0
26,3,42,1.0
27,3,58,1.0
28,3,60,1.0
29,3,66,1.0
30,3,77,1.0
31,3,86,1.0
32,3,87,1.0
33,4,1,1.0
34,4,2,3.0
35,4,48,2.0
36,4,64,1.0
37,4,68,2.0
38,4,79,1.0
39,4,83,1.0
40,4,96,1.0
41,4,100,1.0
42,5,1,1.0
43,5,2,3.0
44,5,3,1.0
45,5,10,1.0
46,5,18,2.0
47,5,30,1.0
48,5,40,1.0
49,5,66,1.0
50,5,86,1.0
51,6,1,1.0
52,6,2,3.0
53,6,3,1.0
54,6,22,1.0
55,6,54,1.0
56,6,75,2.0
57,6,102,1.0
58,7,1,3.0
59,7,2,3.0
60,7,9,1.0
61,7,15,1.0
62,7,26,1.0
63,7,35,2.0
64,7,61,1.0
65,7,74,1.0
66,7,83,1.0
67,7,91,1.0
68,7,109,1.0
69,8,1,1.0
70,8,2,3.0
71,8,15,1.0
72,8,28,1.0
73,8,36,2.0
74,8,42,1.0
75,8,48,2.0
76,8,50,1.0
77,8,54,2.0
78,8,69,1.0
79,8,71,1.0
80,8,74,1.0
81,8,76,1.0
82,8,77,1.0
83,8,81,1.0
84,8,93,2.0
85,8,101,2.0
86,8,107,1.0
87,8,109,1.0
88,9,1,2.0
89,9,2,1.0
90,9,30,1.0
91,9,41,1.0
92,9,55,2.0
93,9,58,2.0
94,9,76,1.0
95,9,81,1.0
96,9,83,1.0
97,10,1,1.0
98,10,2,3.0
99,10,24,1.0
100,10,27,3.0
101,10,36,1.0
102,10,43,1.0
103,11,1,1.0
104,11,2,1.0
105,11,16,2.0
106,11,23,1.0
107,11,30,1.0
108,11,35,2.0
109,11,60,1.0
110,11,64,1.0
111,11,71,1.0
112,11,73,1.0
113,11,77,1.0
114,11,92,2.0
115,11,102,1.0
116,12,1,1.0
117,12,2,1.0
118,12,7,1.0
119,12,14,1.0
120,12,17,1.0
121,12,30,1.0
122,12,45,2.0
123,12,60,2.0
124,12,73,1.0
125,12,74,2.0
126,12,93,1.0
127,12,94,1.0
128,12,107,1.0
129,13,2,1.0
130,13,27,2.0
131,13,46,1.0
132,13,69,1.0
133,13,74,1.0
134,13,93,1.0
135,13,94,1.0
136,13,101,1.0
137,13,103,1.0
138,14,2,1.0
139,14,8,2.0
140,14,22,2.0
141,14,30,1.0
142,14,37,1.0
143,14,44,1.0
144,14,48,1.0
145,14,54,1.0
146,14,90,1.0
147,14,99,1.0
148,15,8,1.0
149,15,48,1.0
150,15,68,1.0
151,15,74,1.0
152,15,78,1.0
153,15,91,2.0
154,16,1,2.0
155,16,2,1.0
156,16,18,1.0
157,16,30,1.0
158,16,31,2.0
159,16,42,1.0
160,16,62,1.0
161,16,63,1.0
162,16,74,1.0
163,16,79,1.0
164,16,83,1.0
165,16,86,1.0
166,16,99,1.0
167,17,1,3.0
168,17,2,1.0
169,17,16,2.0
170,17,48,1.0
171,17,59,1.0
172,17,67,1.0
173,17,90,1.0
174,18,8,1.0
175,18,10,1.0
176,18,35,1.0
177,18,47,2.0
178,18,90,1.0
179,18,96,2.0
180,18,99,2.0
181,19,1,3.0
182,19,2,1.0
183,19,35,2.0
184,19,44,1.0
185,19,47,1.0
186,19,69,1.0
187,19,74,1.0
188,20,8,2.0
189,20,9,1.0
190,20,19,1.0
191,20,33,1.0
192,20,35,1.0
193,20,45,1.0
194,20,55,1.0
195,20,65,2.0
196,20,73,1.0
197,20,80,1.0
198,20,91,1.0
199,20,99,1.0
200,20,102,1.0
201,21,1,1.0
202,21,2,1.0
203,21,8,1.0
204,21,11,1.0
205,21,15,1.0
206,21,22,2.0
207,21,30,1.0
208,21,74,2.0
209,21,86,1.0
210,21,87,1.0
211,21,99,1.0
212,22,2,1.0
213,22,8,1.0
214,22,18,1.0
215,22,20,2.0
216,22,21,1.0
217,22,25,1.0
218,22,40,1.0
219,22,73,2.0
220,22,85,1.0
221,22,100,1.0
222,22,102,3.0
223,22,105,1.0
224,22,107,1.0
225,23,8,2.0
226,23,21,1.0
227,23,23,2.0
228,23,38,1.0
229,23,45,1.0
230,23,48,1.0
231,23,50,1.0
232,23,52,1.0
233,23,53,1.0
234,23,57,1.0
235,23,76,1.0
236,23,98,1.0
237,23,105,2.0
238,23,109,2.0
239,24,1,1.0
240,24,12,1.0
241,24,24,1.0
242,24,35,1.0
243,24,53,1.0
244,24,84,2.0
245,24,102,1.0
246,24,103,1.0
247,25,1,1.0
248,25,26,1.0
249,25,34,1.0
250,25,44,1.0
251,25,46,1.0
252,25,74,1.0
253,25,91,1.0
254,25,98,1.0
255,25,101,1.0
256,26,1,3.0
257,26,13,1.0
258,26,37,1.0
259,26,39,1.0
260,26,48,1.0
261,26,60,2.0
262,26,78,1.0
263,26,88,2.0
264,26,96,1.0
265,26,99,1.0
266,26,100,1.0
267,26,108,1.0
268,27,5,1.0
269,27,25,2.0
270,27,38,1.0
271,27,42,1.0
272,27,53,1.0
273,27,55,1.0
274,27,81,1.0
275,28,1,1.0
276,28,39,1.0
277,28,53,1.0
278,29,1,2.0
279,29,2,3.0
280,29,3,1.0
281,29,12,1.0
282,29,17,1.0
283,29,19,1.0
284,29,23,1.0
285,29,30,1.0
286,29,32,1.0
287,29,54,1.0
288,29,61,1.0
289,29,85,2.0
290,29,89,2.0
291,30,1,2.0
292,30,17,2.0
293,30,63,1.0
294,30,65,1.0
295,30,78,1.0
296,30,80,1.0
297,30,105,1.0
298,30,107,1.0
299,31,9,1.0
300,31,16,1.0
301,31,17,2.0
302,31,24,1.0
303,31,39,1.0
304,31,60,1.0
305,31,71,1.0
306,31,83,1.0
307,31,87,1.0
308,31,96,1.0
309,32,32,1.0
310,32,42,1.0
311,32,59,1.0
312,32,90,2.0
313,32,98,1.0
314,33,1,1.0
315,33,18,2.0
316,33,19,2.0
317,33,25,3.0
318,33,38,1.0
319,33,48,2.0
320,33,57,1.0
321,34,23,1.0
322,34,41,1.0
323,34,43,1.0
324,34,47,2.0
325,34,78,2.0
326,34,93,1.0
327,35,1,1.0
328,35,2,3.0
329,35,13,1.0
330,35,17,1.0
331,35,35,1.0
332,35,36,2.0
333,35,45,1.0
334,35,56,1.0
335,35,77,2.0
336,35,84,1.0
337,36,10,1.0
338,36,18,1.0
339,36,30,1.0
340,36,38,1.0
341,36,44,1.0
342,36,54,1.0
343,36,89,1.0
344,36,96,1.0
345,37,28,1.0
346,37,31,1.0
347,37,33,1.0
348,37,40,1.0
349,37,47,1.0
350,37,48,2.0
351,37,84,2.0
352,38,8,2.0
353,38,51,1.0
354,38,65,1.0
355,38,74,1.0
356,38,96,2.0
357,38,109,2.0
358,39,3,1.0
359,39,10,1.0
360,39,51,2.0
361,39,53,1.0
362,39,56,1.0
363,39,93,1.0
364,40,23,1.0
365,40,34,1.0
366,40,40,1.0
367,40,52,1.0
368,40,56,2.0
369,40,62,1.0
370,40,71,1.0
371,40,77,1.0
372,40,83,1.0
373,40,87,2.0
374,41,52,1.0
375,41,77,1.0
376,42,63,1.0
377,42,66,1.0
378,42,106,1.0
379,43,1,1.0
380,43,2,1.0
381,43,18,1.0
382,43,30,1.0
383,43,51,1.0
384,43,63,1.0
385,43,86,1.0
386,43,93,2.0
387,43,103,3.0
388,44,1,3.0
389,44,2,1.0
390,44,9,2.0
391,44,32,1.0
392,44,53,1.0
393,44,56,1.0
394,44,58,2.0
395,44,59,1.0
396,44,91,1.0
397,44,94,1.0
398,44,97,1.0
399,44,103,1.0
400,45,2,1.0
401,45,23,2.0
402,45,43,1.0
403,45,49,1.0
404,45,65,2.0
405,45,66,3.0
406,45,96,1.0
407,45,97,2.0
408,46,1,2.0
409,46,2,1.0
410,46,14,2.0
411,46,21,2.0
412,46,28,1.0
413,46,46,1.0
414,46,58,1.0
415,46,64,1.0
416,46,92,1.0
417,46,93,2.0
418,46,95,1.0
419,47,2,1.0
420,47,14,2.0
421,47,32,2.0
422,47,86,1.0
423,48,2,1.0
424,48,11,1.0
425,48,55,1.0
426,48,89,1.0
427,49,1,1.0
428,49,2,1.0
429,49,15,1.0
430,49,18,1.0
431,49,39,1.0
432,49,42,1.0
433,49,53,1.0
434,49,55,2.0
435,49,96,1.0
436,50,1,2.0
437,50,2,1.0
438,50,15,1.0
439,50,43,1.0
440,50,49,1.0
441,50,62,1.0
442,50,71,1.0
443,50,89,1.0
444,51,2,3.0
445,51,28,2.0
446,51,35,1.0
447,51,36,2.0
448,51,48,1.0
449,51,57,1.0
450,51,58,1.0
451,51,66,1.0
452,51,82,1.0
453,51,85,1.0
454,52,1,1.0
455,52,2,1.0
456,52,17,1.0
457,52,31,2.0
458,52,36,1.0
459,52,53,1.0
460,52,60,1.0
461,52,74,2.0
462,52,78,1.0
463,52,89,2.0
464,53,69,1.0
465,53,94,2.0
466,53,105,1.0
467,54,1,3.0
468,54,5,1.0
469,54,7,1.0
470,54,17,2.0
471,54,43,1.0
472,54,61,2.0
473,54,70,1.0
474,54,80,1.0
475,54,81,1.0
476,54,106,1.0
477,55,18,1.0
478,55,22,1.0
479,55,39,1.0
480,55,55,1.0
481,55,108,1.0
482,56,8,1.0
483,56,15,1.0
484,56,23,2.0
485,56,41,1.0
486,56,45,1.0
487,56,67,1.0
488,56,68,1.0
489,56,69,1.0
490,56,74,1.0
491,56,83,1.0
492,56,88,2.0
493,56,93,1.0
494,57,5,1.0
495,57,9,2.0
496,57,48,1.0
497,57,60,2.0
498,57,84,1.0
499,57,89,1.0
500,57,91,1.0
501,57,106,1.0
502,57,108,2.0
503,58,3,1.0
504,58,17,1.0
505,58,88,1.0
506,58,99,1.0
507,58,102,1.0
508,59,26,1.0
509,59,47,1.0
510,59,50,1.0
511,59,76,1.0
512,59,99,2.0
513,59,103,1.0
514,60,30,1.0
515,60,35,1.0
516,60,52,1.0
517,60,60,1.0
518,60,69,1.0
519,60,73,2.0
520,60,91,1.0
521,61,1,1.0
522,61,8,1.0
523,61,21,1.0
524,61,26,1.0
525,61,27,1.0
526,61,28,2.0
527,61,46,1.0
528,61,72,1.0
529,61,81,2.0
530,61,85,1.0
531,61,96,2.0
532,61,102,1.0
533,62,2,1.0
534,62,17,1.0
535,62,25,3.0
536,62,46,2.0
537,62,66,1.0
538,62,71,2.0
539,63,16,1.0
540,63,20,1.0
541,63,34,1.0
542,63,80,1.0
543,63,83,1.0
544,63,90,2.0
545,64,15,1.0
546,64,46,1.0
547,64,51,1.0
548,64,65,1.0
549,64,70,1.0
550,64,76,1.0
551,64,84,2.0
552,64,96,2.0
553,64,99,1.0
554,64,102,1.0
555,65,13,1.0
556,65,39,2.0
557,65,42,2.0
558,65,53,2.0
559,65,61,1.0
560,65,66,1.0
561,65,78,1.0
562,65,83,2.0
563,65,84,2.0
564,65,100,1.0
565,66,2,1.0
566,66,3,1.0
567,66,12,2.0
568,66,33,1.0
569,66,43,2.0
570,66,64,1.0
571,66,66,2.0
572,66,67,2.0
573,66,70,1.0
574,66,97,1.0
575,66,99,2.0
576,66,105,1.0
577,66,108,3.0
578,66,109,2.0
579,67,2,1.0
580,67,17,2.0
581,67,37,1.0
582,67,43,1.0
583,67,57,1.0
584,67,59,1.0
585,67,83,1.0
586,67,86,1.0
587,67,88,1.0
588,67,94,1.0
589,67,95,2.0
590,67,100,1.0
591,67,101,2.0
592,67,106,2.0
593,68,2,1.0
594,68,18,1.0
595,68,28,2.0
596,68,30,1.0
597,68,42,1.0
598,68,48,2.0
599,68,58,2.0
600,69,44,2.0
601,69,49,1.0
602,69,56,1.0
603,69,61,2.0
604,69,77,2.0
605,69,93,2.0
606,69,94,2.0
607,69,101,1.0
608,70,2,3.0
609,70,14,1.0
610,70,18,2.0
611,70,27,1.0
612,70,58,1.0
613,70,70,2.0
614,70,71,1.0
615,70,78,1.0
616,70,82,2.0
617,70,91,1.0
618,71,2,2.0
619,71,30,2.0
620,71,55,1.0
621,71,88,1.0
622,72,5,1.0
623,72,37,1.0
624,72,39,1.0
625,72,50,2.0
626,72,58,1.0
627,72,77,1.0
628,72,104,2.0
629,73,6,1.0
630,73,73,1.0
631,73,79,2.0
632,74,3,1.0
633,74,40,2.0
634,74,75,1.0
635,74,89,1.0
636,74,92,1.0
637,74,93,2.0
638,75,2,1.0
639,75,61,1.0
640,75,79,2.0
641,75,89,1.0
642,75,91,2.0
643,75,98,1.0
644,75,106,1.0
645,76,14,1.0
646,76,56,2.0
647,76,109,1.0
648,77,13,2.0
649,77,14,1.0
650,77,20,1.0
651,77,25,1.0
652,77,49,1.0
653,77,65,2.0
654,77,68,1.0
655,77,84,2.0
656,77,92,1.0
657,77,99,1.0
658,78,2,1.0
659,78,10,1.0
660,78,20,1.0
661,78,21,2.0
662,78,40,1.0
663,78,42,1.0
664,78,68,1.0
665,78,69,1.0
666,78,72,1.0
667,78,78,2.0
668,78,83,1.0
669,79,15,1.0
670,79,17,1.0
671,79,23,1.0
672,79,40,1.0
673,79,52,1.0
674,79,67,2.0
675,79,75,1.0
676,79,108,2.0
677,80,2,1.0
678,80,16,2.0
679,80,23,1.0
680,80,46,1.0
681,80,102,1.0
682,80,103,1.0
683,81,3,1.0
684,81,12,1.0
685,81,37,1.0
686,81,40,2.0
687,81,69,1.0
688,81,86,1.0
689,81,92,1.0
690,81,108,1.0
691,82,20,1.0
692,82,25,1.0
693,82,42,1.0
694,82,62,2.0
695,82,66,1.0
696,82,72,1.0
697,82,85,2.0
698,82,86,2.0
699,83,2,1.0
700,83,12,1.0
701,83,32,1.0
702,83,34,1.0
703,83,37,1.0
704,83,47,2.0
705,83,60,1.0
706,83,64,2.0
707,83,88,1.0
708,83,102,1.0
709,84,1,1.0
710,84,9,2.0
711,84,45,1.0
712,84,46,1.0
713,84,63,1.0
714,84,75,1.0
715,84,79,2.0
716,84,97,1.0
717,85,22,2.0
718,85,35,2.0
719,85,36,1.0
720,85,38,1.0
721,85,39,1.0
722,85,51,2.0
723,85,76,2.0
724,85,93,1.0
725,85,104,1.0
726,85,105,1.0
727,86,15,1.0
728,86,16,1.0
729,86,26,1.0
730,86,41,1.0
731,86,48,1.0
732,86,52,1.0
733,86,57,2.0
734,86,70,1.0
735,87,1,1.0
736,87,17,1.0
737,87,19,2.0
738,87,20,2.0
739,87,70,1.0
740,87,89,1.0
741,87,98,1.0
742,87,104,1.0
743,88,2,1.0
744,88,18,1.0
745,88,26,2.0
746,88,45,1.0
747,88,53,1.0
748,88,55,1.0
749,88,65,2.0
750,88,87,1.0
751,88,88,1.0
752,88,98,1.0
753,89,1,2.0
754,89,2,1.0
755,89,10,2.0
756,89,16,2.0
757,89,23,1.0
758,89,27,2.0
759,89,30,1.0
760,89,43,1.0
761,89,65,1.0
762,89,70,1.0
763,89,83,1.0
764,89,92,1.0
765,89,105,1.0
766,90,1,2.0
767,90,2,1.0
768,90,36,1.0
769,90,39,1.0
770,90,77,1.0
771,90,86,1.0
772,90,92,1.0
773,91,2,1.0
774,91,47,1.0
775,91,50,1.0
776,91,60,2.0
777,91,65,1.0
778,91,78,1.0
779,92,3,2.0
780,92,56,1.0
781,92,80,1.0
782,92,90,1.0
783,92,107,1.0
784,93,8,1.0
785,93,15,1.0
786,93,28,1.0
787,93,31,1.0
788,93,37,2.0
789,93,62,1.0
790,93,71,2.0
791,93,75,1.0
792,93,82,1.0
793,93,85,2.0
794,93,97,1.0
795,94,1,1.0
796,94,5,2.0
797,94,9,2.0
798,94,24,1.0
799,94,34,2.0
800,94,51,2.0
801,94,93,1.0
802,94,98,1.0
803,94,105,1.0
804,94,106,2.0
805,95,11,1.0
806,95,43,1.0
807,95,55,1.0
808,95,88,1.0
809,96,26,2.0
810,96,29,2.0
811,96,34,1.0
812,96,63,1.0
813,96,66,1.0
814,96,67,1.0
815,96,77,1.0
816,96,103,1.0
817,97,23,2.0
818,97,31,1.0
819,97,39,1.0
820,97,52,2.0
821,97,68,1.0
822,97,89,1.0
823,97,94,1.0
824,97,103,2.0
825,98,3,1.0
826,98,34,1.0
827,98,55,2.0
828,98,70,1.0
829,98,74,1.0
830,98,87,1.0
831,98,105,2.0
832,99,41,1.0
833,99,67,1.0
834,99,70,1.0
835,99,75,1.0
836,99,86,1.0
837,99,98,2.0
838,100,22,1.0
839,100,51,2.0
840,100,57,1.0
841,100,64,1.0
842,100,82,2.0
843,100,105,1.0
844,101,26,1.0
845,101,39,1.0
846,101,55,1.0
847,101,84,2.0
848,101,87,1.0
849,101,97,1.0
850,102,85,2.0
851,103,13,1.0
852,103,18,1.0
853,103,31,1.0
854,103,39,2.0
855,103,69,1.0
856,103,105,2.0
857,103,109,1.0
858,104,1,2.0
859,104,7,1.0
860,104,18,1.0
861,104,21,2.0
862,104,29,1.0
863,104,31,3.0
864,104,34,2.0
865,104,41,1.0
866,104,43,1.0
867,104,47,1.0
868,104,51,1.0
869,104,54,1.0
870,104,68,1.0
871,104,81,1.0
872,104,88,3.0
873,104,90,1.0
874,104,96,1.0
875,105,1,1.0
876,105,41,2.0
877,105,43,2.0
878,105,59,1.0
879,105,70,1.0
880,105,78,1.0
881,105,82,1.0
882,105,97,1.0
883,106,5,1.0
884,106,46,1.0
885,106,48,1.0
886,106,62,3.0
887,106,87,1.0
888,106,88,2.0
889,106,93,1.0
890,106,99,1.0
891,107,8,1.0
892,107,26,2.0
893,107,46,1.0
894,107,76,1.0
895,107,80,2.0
896,107,84,2.0
897,107,103,1.0
898,108,3,1.0
899,108,10,1.0
900,108,18,2.0
901,108,25,1.0
902,108,37,1.0
903,108,39,1.0
904,108,66,3.0
905,108,89,1.0
906,108,105,1.0
907,109,14,2.0
908,109,21,1.0
909,109,77,2.0
910,110,39,1.0
911,110,62,1.0
912,110,63,1.0
913,110,84,1.0
914,110,94,1.0
915,111,30,2.0
916,111,32,1.0
917,111,34,1.0
918,111,42,1.0
919,111,59,1.0
920,111,66,1.0
921,111,105,2.0
922,112,17,1.0
923,112,51,1.0
924,112,62,1.0
925,112,68,1.0
926,112,95,2.0
927,112,100,2.0
928,113,7,2.0
929,113,26,1.0
930,113,44,1.0
931,113,49,2.0
932,114,21,1.0
933,114,22,1.0
934,114,25,1.0
935,114,37,1.0
936,114,82,1.0
937,115,9,1.0
938,115,11,2.0
939,115,15,1.0
940,115,16,1.0
941,115,51,1.0
942,115,60,1.0
943,115,63,2.0
944,115,80,1.0
945,115,97,3.0
946,116,23,2.0
947,116,30,1.0
948,116,35,2.0
949,116,42,1.0
950,116,47,1.0
951,116,51,2.0
952,116,58,1.0
953,116,61,1.0
954,116,77,1.0
955,116,93,1.0
956,117,17,1.0
957,117,26,1.0
958,117,34,1.0
959,117,37,1.0
960,117,43,1.0
961,117,44,1.0
962,117,94,1.0
963,117,107,2.0
964,118,1,2.0
965,118,6,1.0
966,118,15,1.0
967,118,19,1.0
968,118,40,2.0
969,118,45,1.0
970,118,82,1.0
971,118,84,1.0
972,118,87,1.0
973,118,92,1.0
974,118,107,1.0
975,119,1,2.0
976,119,2,1.0
977,119,20,2.0
978,119,40,2.0
979,119,61,2.0
980,120,1,1.0
981,120,15,1.0
982,120,21,2.0
983,120,23,1.0
984,120,45,1.0
985,120,94,1.0
986,121,6,2.0
987,121,21,1.0
988,121,51,2.0
989,121,56,1.0
990,121,64,2.0
991,121,75,1.0
992,121,77,1.0
993,121,86,1.0
994,121,97,1.0
995,122,3,1.0
996,122,12,1.0
997,122,28,1.0
998,122,38,1.0
999,122,52,1.0
1000,122,59,2.0
1001,122,85,1.0
1002,122,88,1.0
1003,122,91,2.0
1004,122,93,1.0
1005,122,107,1.0
1006,123,10,1.0
1007,123,19,1.0
1008,123,32,2.0
1009,123,53,1.0
1010,123,62,3.0
1011,123,63,1.0
1012,123,70,1.0
1013,123,87,1.0
1014,123,100,1.0
1015,123,104,1.0
1016,124,12,1.0
1017,124,20,1.0
1018,124,49,1.0
1019,124,71,1.0
1020,124,73,1.0
1021,124,96,1.0
1022,125,13,2.0
1023,125,16,1.0
1024,125,23,1.0
1025,125,32,2.0
1026,126,9,1.0
1027,126,10,1.0
1028,126,20,1.0
1029,126,34,1.0
1030,126,35,1.0
