,card,user,rating
0,1,1,1.0
1,1,2,2.0
2,1,32,2.0
3,1,89,1.0
4,2,1,1.0
5,2,2,2.0
6,2,5,1.0
7,2,13,1.0
8,2,22,2.0
9,2,28,2.0
10,2,42,1.0
11,2,51,1.0
12,2,71,1.0
13,2,75,1.0
14,2,76,1.0
15,2,87,1.0
16,2,90,2.0
17,3,2,2.0
18,3,11,1.0
19,3,15,1.0
20,3,20,1.0
21,3,26,1.0
22,3,37,2.0
23,3,44,1.0
24,3,63,1.0
25,3,65,2.0
26,3,71,1.0
27,3,89,2.0
28,3,98,1.0
29,4,2,2.0
30,4,27,1.0
31,4,51,1.0
32,4,80,1.0
33,4,90,1.0
34,5,13,1.0
35,5,14,2.0
36,5,16,2.0
37,5,18,2.0
38,5,41,1.0
39,5,52,1.0
40,5,59,1.0
41,5,74,2.0
42,6,2,2.0
43,6,12,1.0
44,6,16,1.0
45,6,17,1.0
46,6,20,2.0
47,6,39,1.0
48,6,52,2.0
49,6,84,2.0
50,6,98,2.0
51,6,100,2.0
52,7,1,1.0
53,7,2,2.0
54,7,16,2.0
55,7,18,1.0
56,7,21,1.0
57,7,30,1.0
58,7,40,1.0
59,7,53,2.0
60,7,59,2.0
61,7,88,1.0
62,7,97,2.0
63,8,2,2.0
64,8,8,1.0
65,8,9,1.0
66,8,76,1.0
67,8,77,1.0
68,8,97,1.0
69,9,9,2.0
70,9,24,1.0
71,9,31,1.0
72,9,66,2.0
73,9,70,1.0
74,9,93,1.0
75,9,96,3.0
76,9,98,1.0
77,10,6,2.0
78,10,24,1.0
79,10,25,1.0
80,10,30,1.0
81,10,36,2.0
82,10,61,1.0
83,10,67,1.0
84,10,96,2.0
85,10,100,2.0
86,11,24,2.0
87,11,26,2.0
88,11,38,1.0
89,11,79,1.0
90,12,2,2.0
91,12,21,2.0
92,12,22,2.0
93,12,42,1.0
94,12,81,1.0
95,13,2,2.0
96,13,3,2.0
97,13,17,2.0
98,13,37,1.0
99,13,51,1.0
100,14,1,1.0
101,14,33,1.0
102,14,64,1.0
103,14,99,1.0
104,15,6,1.0
105,15,9,3.0
106,15,16,1.0
107,15,53,1.0
108,15,59,1.0
109,15,60,2.0
110,15,71,1.0
111,15,77,1.0
112,15,79,1.0
113,15,82,1.0
114,15,95,1.0
115,16,4,2.0
116,16,20,2.0
117,16,47,2.0
118,16,60,1.0
119,16,64,1.0
120,16,74,1.0
121,16,77,1.0
122,16,83,2.0
123,17,9,1.0
124,17,13,1.0
125,17,18,1.0
126,17,20,2.0
127,17,39,1.0
128,17,50,1.0
129,17,60,1.0
130,17,64,1.0
131,17,68,1.0
132,17,76,2.0
133,17,90,1.0
134,18,17,1.0
135,18,32,1.0
136,18,36,1.0
137,18,65,1.0
138,18,71,1.0
139,18,86,1.0
140,18,94,1.0
141,19,3,2.0
142,19,18,1.0
143,19,38,1.0
144,19,46,1.0
145,19,56,1.0
146,19,73,2.0
147,19,78,1.0
148,19,85,1.0
149,19,90,1.0
150,20,7,1.0
151,20,17,1.0
152,20,32,1.0
153,20,50,1.0
154,21,30,1.0
155,21,32,1.0
156,21,69,2.0
157,21,91,2.0
158,22,48,1.0
159,22,64,1.0
160,22,96,2.0
161,23,20,1.0
162,23,42,2.0
163,23,53,2.0
164,23,61,1.0
165,23,77,2.0
166,23,86,2.0
167,23,91,3.0
168,24,18,1.0
169,24,23,1.0
170,24,41,2.0
171,24,50,1.0
172,24,64,1.0
173,24,100,1.0
174,25,8,2.0
175,25,22,1.0
176,25,33,2.0
177,25,51,1.0
178,25,63,1.0
179,25,86,2.0
180,25,87,2.0
181,25,94,1.0
182,26,5,1.0
183,26,17,1.0
184,26,20,1.0
185,26,28,1.0
186,26,50,2.0
187,26,72,1.0
188,26,73,1.0
189,26,77,1.0
190,26,84,2.0
191,26,94,1.0
192,27,8,2.0
193,27,17,1.0
194,27,30,2.0
195,27,39,1.0
196,27,43,1.0
197,27,62,2.0
198,27,67,1.0
199,27,100,1.0
200,28,15,1.0
201,28,21,1.0
202,28,53,2.0
203,28,73,1.0
204,28,75,2.0
205,28,90,2.0
206,29,4,2.0
207,29,7,1.0
208,29,8,2.0
209,29,48,1.0
210,29,57,1.0
211,29,76,2.0
212,29,81,1.0
213,30,9,1.0
214,30,10,1.0
215,30,18,2.0
216,30,30,1.0
217,30,43,1.0
218,30,68,1.0
219,30,81,1.0
220,30,87,3.0
221,31,10,1.0
222,31,15,1.0
223,31,31,1.0
224,31,79,2.0
225,31,87,1.0
226,31,100,1.0
227,32,3,1.0
228,32,12,1.0
229,32,13,1.0
230,32,51,1.0
231,32,53,1.0
232,32,56,1.0
233,32,63,1.0
234,32,69,1.0
235,32,97,2.0
236,33,40,2.0
237,33,49,1.0
238,33,77,1.0
239,33,83,1.0
240,33,91,2.0
241,33,98,1.0
242,34,1,2.0
243,34,45,1.0
244,34,74,2.0
245,35,19,1.0
246,35,27,2.0
247,35,44,2.0
248,35,51,1.0
249,35,55,1.0
250,35,56,1.0
251,35,65,1.0
252,35,68,1.0
253,36,17,1.0
254,36,27,2.0
255,36,31,1.0
256,36,34,1.0
257,36,78,2.0
258,36,83,1.0
259,36,91,1.0
260,37,3,1.0
261,37,15,1.0
262,37,82,1.0
263,37,90,2.0
264,37,93,1.0
265,38,9,1.0
266,38,19,2.0
267,38,37,1.0
268,38,90,1.0
269,39,4,2.0
270,39,10,1.0
271,39,18,1.0
272,39,19,1.0
273,39,49,2.0
274,39,55,1.0
275,39,64,2.0
276,39,78,2.0
277,39,82,1.0
278,40,4,2.0
279,40,34,1.0
280,40,45,1.0
281,40,47,1.0
282,40,49,2.0
283,40,78,1.0
284,40,83,1.0
285,41,3,2.0
286,41,29,1.0
287,41,48,2.0
288,41,53,2.0
289,41,91,2.0
290,41,99,2.0
291,42,3,1.0
292,42,7,2.0
293,42,70,1.0
294,42,77,1.0
295,42,80,1.0
296,42,93,1.0
297,42,98,1.0
298,42,100,1.0
299,43,35,1.0
300,43,50,1.0
301,43,51,1.0
302,43,53,1.0
303,43,76,2.0
304,43,77,1.0
305,43,88,1.0
306,43,94,1.0
307,44,1,2.0
308,44,19,1.0
309,44,55,2.0
310,44,62,1.0
311,44,72,1.0
312,45,6,2.0
313,45,10,2.0
314,45,29,1.0
315,45,38,1.0
316,45,70,2.0
317,45,74,2.0
318,45,79,1.0
319,45,80,1.0
320,45,82,2.0
321,45,87,1.0
322,45,90,1.0
323,46,12,1.0
324,46,26,1.0
325,46,41,1.0
326,46,54,2.0
327,46,64,1.0
328,46,76,1.0
329,46,86,2.0
330,46,92,1.0
331,46,96,1.0
332,47,6,1.0
333,47,10,2.0
334,47,31,1.0
335,47,40,2.0
336,47,49,1.0
337,47,71,1.0
338,47,76,1.0
339,48,19,2.0
340,48,41,1.0
341,48,45,1.0
342,48,66,1.0
343,48,71,1.0
344,48,73,1.0
345,48,84,2.0
346,48,85,2.0
347,49,9,1.0
348,49,15,1.0
349,49,83,1.0
350,50,5,2.0
351,50,26,2.0
352,50,78,1.0
353,50,99,1.0
354,51,46,1.0
355,51,48,2.0
356,51,60,1.0
357,51,62,1.0
358,52,20,1.0
359,52,21,1.0
360,52,25,1.0
361,52,46,1.0
362,52,86,2.0
363,52,98,3.0
364,53,29,1.0
365,53,30,1.0
366,53,38,2.0
367,53,62,1.0
368,53,81,1.0
369,54,8,2.0
370,54,20,1.0
371,54,22,1.0
372,54,43,2.0
373,54,97,2.0
374,55,6,1.0
375,55,40,1.0
376,55,44,1.0
377,55,69,2.0
378,55,82,1.0
379,55,83,1.0
380,55,84,1.0
381,55,90,2.0
382,55,98,1.0
383,56,3,1.0
384,56,4,1.0
385,56,7,2.0
386,56,22,2.0
